000000 99.9 99.8 99.7 99.6 99.5 99.4 99.3 99.2 99.1 99.0 4.0
111111 98.9 78.9 97.6 91.0 98.9 87.9 93.6 89.0 96.7 99.9 3.7
222222 78.9 68.9 87.6 71.0 72.3 78.1 83.6 81.0 94.7 80.7 3.2
333333 58.2 68.9 79.3 67.2 52.6 63.7 53.6 59.3 69.0 69.9 2.5
444444 78.3 87.9 79.4 79.2 76.9 75.2 82.6 88.1 90.2 88.3 3.3
555555 88.1 79.6 89.2 82.0 87.9 92.8 73.2 99.0 87.4 79.4 3.4
666666 58.2 68.9 79.3 52.6 63.7 53.6 59.3 69.0 69.9 95.2 2.6
777777 94.9 78.9 97.6 90.0 96.8 87.9 83.6 87.0 86.7 94.9 3.6
888888 73.9 78.9 76.4 73.0 79.6 77.2 81.4 86.3 89.4 90.7 3.2
999999 60.7 14.6 39.1 49.0 26.9 42.8 53.2 39.0 45.4 16.4 1.5
569
480
